sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
119493314,1575686,2007000006927,"010010204001",49,1,1,2,1,,500136309
119493315,1575686,2007000006927,"010010204001",45,2,1,1,0,,500143905
119493322,1586030,2007000006927,"010010208022",6,2,1,3,2,450055504,
119493323,1586030,2007000006927,"010010208022",49,1,1,2,1,,500109885
119493324,1586030,2007000006927,"010010208022",45,2,1,1,0,,500135914
119493325,1584783,2007000006927,"010010208021",6,2,1,3,2,450055504,
119493326,1584783,2007000006927,"010010208021",49,1,1,2,1,,500145485
119495406,1592047,2007000012021,"010010211001",18,2,2,3,2,,
119495407,1592047,2007000012021,"010010211001",60,1,2,2,1,,
119495670,1586559,2007000012413,"010010208022",9,2,1,3,2,450086996,
119495672,1586559,2007000012413,"010010208022",2,1,1,4,2,,
119495674,1586559,2007000012413,"010010208022",38,1,1,1,0,,500144119
119495685,1589037,2007000012413,"010010209002",9,2,1,3,2,450086996,
119495687,1589037,2007000012413,"010010209002",2,1,1,4,2,,
119495689,1589037,2007000012413,"010010209002",38,1,1,1,0,,500144510
119495700,1590809,2007000012413,"010010210001",9,2,1,3,2,450077319,
119495701,1590809,2007000012413,"010010210001",37,2,1,2,1,,500578421
119495702,1590809,2007000012413,"010010210001",2,1,1,4,2,,
119495703,1590809,2007000012413,"010010210001",0,1,1,5,2,,
119495704,1590809,2007000012413,"010010210001",38,1,1,1,0,,500145404
119496090,1579890,2007000013259,"010010205002",36,1,1,2,1,,500135811
119496091,1579890,2007000013259,"010010205002",2,2,1,5,2,,
119496092,1579890,2007000013259,"010010205002",34,2,1,1,0,,500140806
119496095,1579808,2007000013259,"010010205002",36,1,1,2,1,,500110523
119496096,1579808,2007000013259,"010010205002",2,2,1,5,2,,
119496097,1579808,2007000013259,"010010205002",34,2,1,1,0,,500143391
119496098,1579808,2007000013259,"010010205002",4,1,1,4,2,450065180,
119496116,1580241,2007000013259,"010010205002",2,2,1,5,2,,
119496118,1580241,2007000013259,"010010205002",4,1,1,4,2,450065180,
119496126,1588529,2007000013259,"010010209001",2,2,1,5,2,,
119496127,1588529,2007000013259,"010010209001",34,2,1,1,0,,500145740
119496132,1574977,2007000013259,"010010203001",34,2,1,1,0,,500140342
119496139,1589487,2007000013259,"010010209003",12,1,1,3,2,450084529,
119496141,1589487,2007000013259,"010010209003",2,2,1,5,2,,
119496149,1586683,2007000013259,"010010208022",12,1,1,3,2,450087282,
119496151,1586683,2007000013259,"010010208022",2,2,1,5,2,,
119496153,1586683,2007000013259,"010010208022",4,1,1,4,2,450065180,
119496155,1578699,2007000013259,"010010205002",36,1,1,2,1,,500139392
119496157,1578699,2007000013259,"010010205002",34,2,1,1,0,,500145343
119496683,1573648,2007000014443,"010010202001",9,1,2,3,2,450087284,
119496699,1584852,2007000014443,"010010208021",40,2,2,1,0,,500144360
119498293,1580129,2007000015992,"010010205002",77,1,1,1,0,,
119498296,1581016,2007000015992,"010010205003",77,1,1,1,0,,
119498300,1583601,2007000015992,"010010207002",77,1,1,1,0,,
119498301,1576897,2007000015992,"010010204004",77,1,1,1,0,,
119499390,1576424,2007000017875,"010010204002",17,1,1,4,2,450087281,
119499391,1576424,2007000017875,"010010204002",26,1,1,5,12,,500144706
119499406,1590524,2007000017875,"010010210001",26,1,1,5,12,,500146513
119499419,1582195,2007000017875,"010010206002",52,1,1,1,0,,500138903
119499420,1581403,2007000017875,"010010206001",17,1,1,4,2,450087281,
119499421,1581403,2007000017875,"010010206001",26,1,1,5,12,,500145736
119499426,1582561,2007000017875,"010010207001",26,1,1,5,12,,500142749
119499428,1582561,2007000017875,"010010207001",52,2,1,2,1,,500135914
119499429,1582561,2007000017875,"010010207001",52,1,1,1,0,,500144803
119499430,1575525,2007000017875,"010010204001",17,1,1,4,2,450079463,
119499432,1575525,2007000017875,"010010204001",27,1,1,3,2,,500144339
119499441,1579045,2007000017875,"010010205002",26,1,1,5,12,,500141528
119499443,1579045,2007000017875,"010010205002",52,2,1,2,1,,500145836
119499444,1579045,2007000017875,"010010205002",52,1,1,1,0,,500143353
119499462,1585107,2007000017875,"010010208021",27,1,1,3,2,,500110342
119499463,1585107,2007000017875,"010010208021",52,2,1,2,1,,500140662
119499464,1585107,2007000017875,"010010208021",52,1,1,1,0,,500109802
119499480,1584095,2007000017875,"010010208012",17,1,1,4,2,450087280,
119499482,1584095,2007000017875,"010010208012",27,1,1,3,2,,500131866
119499483,1584095,2007000017875,"010010208012",52,2,1,2,1,,500143773
119501477,1581678,2007000021009,"010010206001",53,2,1,1,0,,500144687
119501483,1574143,2007000021009,"010010203001",53,2,1,1,0,,500144759
119501484,1586239,2007000021009,"010010208022",50,1,1,2,1,,500136006
119501485,1586239,2007000021009,"010010208022",53,2,1,1,0,,500137444
